DATE,CREACBW027SBOG
2013-08-14,1464.009
2013-08-21,1464.3699
2013-08-28,1464.767
2013-09-04,1468.4226
2013-09-11,1469.9183
2013-09-18,1471.8544
2013-09-25,1473.2174
2013-10-02,1476.469
2013-10-09,1478.4481
2013-10-16,1479.9431
2013-10-23,1481.4782
2013-10-30,1483.6095
2013-11-06,1487.0924
2013-11-13,1489.8197
2013-11-20,1493.0502
2013-11-27,1495.0328
2013-12-04,1495.5844
2013-12-11,1497.3588
2013-12-18,1497.3389
2013-12-25,1498.4841
2014-01-01,1502.2193
2014-01-08,1502.6875
2014-01-15,1504.5504
2014-01-22,1506.4092
2014-01-29,1509.1245
2014-02-05,1512.3401
2014-02-12,1515.2036
2014-02-19,1515.6567
2014-02-26,1517.9034
2014-03-05,1521.209
2014-03-12,1522.2487
2014-03-19,1524.2971
2014-03-26,1527.2859
2014-04-02,1530.392
2014-04-09,1532.1258
2014-04-16,1532.4349
2014-04-23,1534.9957
2014-04-30,1538.8881
2014-05-07,1539.824
2014-05-14,1540.5395
2014-05-21,1542.6561
2014-05-28,1544.516
2014-06-04,1548.3314
2014-06-11,1552.463
2014-06-18,1551.5488
2014-06-25,1551.1892
2014-07-02,1556.5162
2014-07-09,1557.0694
2014-07-16,1561.3741
2014-07-23,1562.5917
2014-07-30,1565.2322
2014-08-06,1567.4381
2014-08-13,1570.265
2014-08-20,1571.9493
2014-08-27,1574.5355
2014-09-03,1574.9999
2014-09-10,1576.8043
2014-09-17,1579.3612
2014-09-24,1581.6139
2014-10-01,1579.4573
2014-10-08,1582.769
2014-10-15,1585.3196
2014-10-22,1587.7398
2014-10-29,1589.8609
2014-11-05,1591.9775
2014-11-12,1593.4038
2014-11-19,1594.5065
2014-11-26,1596.3878
2014-12-03,1600.2106
2014-12-10,1600.3841
2014-12-17,1603.7538
2014-12-24,1607.8499
2014-12-31,1612.2759
2015-01-07,1612.3484
2015-01-14,1613.3152
2015-01-21,1616.2096
2015-01-28,1617.862
2015-02-04,1620.989
2015-02-11,1622.6116
2015-02-18,1625.3614
2015-02-25,1641.0511
2015-03-04,1647.4653
2015-03-11,1651.3657
2015-03-18,1654.2226
2015-03-25,1656.2947
2015-04-01,1660.5456
2015-04-08,1661.0462
2015-04-15,1661.3324
2015-04-22,1662.2509
2015-04-29,1661.2236
2015-05-06,1663.5054
2015-05-13,1670.4361
2015-05-20,1674.006
2015-05-27,1676.0255
2015-06-03,1680.3832
2015-06-10,1682.037
2015-06-17,1686.6396
2015-06-24,1688.4204
2015-07-01,1692.2727
2015-07-08,1696.2347
2015-07-15,1700.2804
2015-07-22,1704.612
2015-07-29,1707.0276
2015-08-05,1711.4664
2015-08-12,1714.6989
2015-08-19,1716.5726
2015-08-26,1720.5783
2015-09-02,1724.6822
2015-09-09,1728.2221
2015-09-16,1730.52
2015-09-23,1736.7482
2015-09-30,1743.3236
2015-10-07,1744.9163
2015-10-14,1746.6199
2015-10-21,1750.97
2015-10-28,1752.138
2015-11-04,1755.1004
2015-11-11,1757.4937
2015-11-18,1762.1064
2015-11-25,1766.5281
2015-12-02,1769.0951
2015-12-09,1772.5932
2015-12-16,1777.99
2015-12-23,1786.4529
2015-12-30,1788.7556
2016-01-06,1793.5999
2016-01-13,1796.271
2016-01-20,1797.0178
2016-01-27,1804.6997
2016-02-03,1808.1404
2016-02-10,1811.7492
2016-02-17,1814.6822
2016-02-24,1818.1366
2016-03-02,1826.7812
2016-03-09,1831.0929
2016-03-16,1832.0462
2016-03-23,1836.0582
2016-03-30,1839.0327
2016-04-06,1841.7475
2016-04-13,1844.9447
2016-04-20,1849.6528
2016-04-27,1853.0103
2016-05-04,1857.1935
2016-05-11,1860.2655
2016-05-18,1863.8573
2016-05-25,1867.9881
2016-06-01,1872.4492
2016-06-08,1874.9088
2016-06-15,1879.7157
2016-06-22,1882.6234
2016-06-29,1887.332
2016-07-06,1891.6864
2016-07-13,1896.3863
2016-07-20,1897.0518
2016-07-27,1899.6964
2016-08-03,1904.4462
2016-08-10,1906.5907
2016-08-17,1913.0426
2016-08-24,1913.9839
2016-08-31,1919.151
2016-09-07,1921.3715
2016-09-14,1927.1842
2016-09-21,1927.4706
2016-09-28,1931.3349
2016-10-05,1936.303
2016-10-12,1939.5736
2016-10-19,1941.6935
